pl_name,hostname,pl_orbper,pl_tranmid,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_imppar,pl_impparerr1,pl_ratdor,pl_trandep,pl_trandur,st_teff,st_logg,st_met,default_flag,pl_refname
"TrES-2 b","TrES-2",2.47061317000,2454955.76256620,0.12437000,0.00008000,-0.00008000,0.822000,0.100000,8.445000,1.42840000,1.7246000,5814.00,4.380000,,0,"<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>"
"TrES-2 b","TrES-2",2.47061437000,2453957.63458000,0.12600000,0.00300000,-0.00300000,,,7.813000,,,5795.00,4.457000,0.0600,0,"<a refstr=_OUML_ZT_UUML_RK__AMP__ERDEM_2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2290O/abstract target=ref>&Ouml;zt&uuml;rk &amp; Erdem 2019</a>"
"TrES-2 b","TrES-2",2.47061337200,2455706.82976910,0.12540000,0.00050000,-0.00050000,,,7.903000,,,5850.00,,,0,"<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>"
"TrES-2 b","TrES-2",2.47061338500,2454955.76330080,0.12385100,0.00002500,-0.00007600,,,,,1.7425900,5860.00,4.460000,-0.1000,0,"<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>"
"TrES-2 b","TrES-2",2.47063000000,,0.12530000,0.00100000,-0.00100000,0.854000,0.006200,7.620000,,,5850.00,,,0,"<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>"
"TrES-2 b","TrES-2",2.47061338500,,0.12385100,0.00002500,-0.00007600,,,,,,5819.00,,0.0100,0,"<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>"
"TrES-2 b","TrES-2",2.47061320000,2456230.59800000,0.12535800,0.00001900,-0.00002400,,,,,,5850.00,4.427000,-0.1500,0,"<a refstr=TURNER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459..789T/abstract target=ref>Turner et al. 2016</a>"
"TrES-2 b","TrES-2",2.47061340200,2453957.63548600,0.12759000,0.00003000,-0.00004000,,,7.989900,,,5854.00,4.448240,-0.0300,0,"<a refstr=SCHR_OUML_TER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...539A..97S/abstract target=ref>Schr&ouml;ter et al. 2012</a>"
"TrES-2 b","TrES-2",2.47061337700,2454955.76330500,0.12387100,0.00005100,-0.00007100,0.818000,0.001000,8.397700,1.42309000,1.7431900,5820.00,4.457000,-0.0600,0,"<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>"
"TrES-2 b","TrES-2",2.47061317000,2454955.76336000,0.12539000,0.00049000,-0.00035000,0.843590,0.000750,7.903000,,,5850.00,4.426000,-0.1500,0,"<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>"
"TrES-2 b","TrES-2",2.47061320000,2454955.76255040,0.12535800,0.00001900,-0.00002400,0.842930,0.000160,7.931000,,,5850.00,4.450000,-0.1500,0,"<a refstr=BARCLAY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...761...53B/abstract target=ref>Barclay et al. 2012</a>"
